0x2c,0x28,0x00,0x49,0xbb,0x00,0x00,0x00
0xe6,0x00,0xe2,0x00,0x00,0x00,0x00,0x00
0x00,0xe5,0x00,0x00,0xe1,0x00,0x00,0x00
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xe0
0x00,0x1d,0x29,0x04,0x39,0x14,0x3a,0x35
0x00,0x1b,0x00,0x16,0x00,0x1a,0x3b,0x00
0x00,0x06,0x00,0x07,0x00,0x08,0x3c,0x00
0x05,0x19,0x0a,0x09,0x17,0x15,0x3d,0x3e
0x11,0x10,0x0b,0x0d,0x1c,0x18,0x40,0x3f
0x00,0x00,0x00,0x4a,0x30,0x46,0x41,0x45
0x00,0x4e,0x00,0x4b,0x4a,0x47,0x42,0x00
0x51,0x00,0x4f,0x50,0x52,0x48,0x43,0x44
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
0x00,0x4d,0x00,0xe3,0xe7,0x4d,0x4e,0x4b
